case_id,activity,lifecycle,timestamp,event_idx,delta_prev_seconds,delta_start_seconds,delta_next_seconds,user_id,item_id
173688,A_SUBMITTED,COMPLETE,2011-09-30 22:38:44.546000+00:00,0,0.0,0.0,0.334,1,10
173688,A_PARTLYSUBMITTED,COMPLETE,2011-09-30 22:38:44.880000+00:00,1,0.334,0.334,53.026,1,7
173688,A_PREACCEPTED,COMPLETE,2011-09-30 22:39:37.906000+00:00,2,53.026,53.36,39785.402,1,8
173688,A_ACCEPTED,COMPLETE,2011-10-01 09:42:43.308000+00:00,3,39785.402,39838.762,145.935,1,1
173688,A_FINALIZED,COMPLETE,2011-10-01 09:45:09.243000+00:00,4,145.935,39984.697,-0.0,1,6
173688,O_SELECTED,COMPLETE,2011-10-01 09:45:09.243000+00:00,5,0.0,39984.697,1.954,1,15
173688,O_CREATED,COMPLETE,2011-10-01 09:45:11.197000+00:00,6,1.954,39986.651,0.183,1,13
173688,O_SENT,COMPLETE,2011-10-01 09:45:11.380000+00:00,7,0.183,39986.834,2.537,1,16
173688,W_Completeren aanvraag,COMPLETE,2011-10-01 09:45:13.917000+00:00,8,2.537,39989.371,1915.007,1,20
173688,W_Nabellen offertes,COMPLETE,2011-10-01 10:17:08.924000+00:00,9,1915.007,41904.378,620091.962,1,22
173688,W_Nabellen offertes,COMPLETE,2011-10-08 14:32:00.886000+00:00,10,620091.962,661996.34,154862.782,1,22
173688,O_SENT_BACK,COMPLETE,2011-10-10 09:33:03.668000+00:00,11,154862.782,816859.122,2.123,1,17
173688,W_Nabellen offertes,COMPLETE,2011-10-10 09:33:05.791000+00:00,12,2.123,816861.245,255863.435,1,22
173688,A_ACTIVATED,COMPLETE,2011-10-13 08:37:29.226000+00:00,13,255863.435,1072724.68,-0.0,1,2
173688,A_APPROVED,COMPLETE,2011-10-13 08:37:29.226000+00:00,14,0.0,1072724.68,-0.0,1,3
173688,A_REGISTERED,COMPLETE,2011-10-13 08:37:29.226000+00:00,15,0.0,1072724.68,-0.0,1,9
173688,O_ACCEPTED,COMPLETE,2011-10-13 08:37:29.226000+00:00,16,0.0,1072724.68,7.8,1,11
173688,W_Valideren aanvraag,COMPLETE,2011-10-13 08:37:37.026000+00:00,17,7.8,1072732.48,0.0,1,23
173691,A_SUBMITTED,COMPLETE,2011-10-01 06:08:58.256000+00:00,0,0.0,0.0,3.939,2,10
173691,A_PARTLYSUBMITTED,COMPLETE,2011-10-01 06:09:02.195000+00:00,1,3.939,3.939,54.453,2,7
173691,A_PREACCEPTED,COMPLETE,2011-10-01 06:09:56.648000+00:00,2,54.453,58.392,12796.53,2,8
173691,W_Completeren aanvraag,COMPLETE,2011-10-01 09:43:13.178000+00:00,3,12796.53,12854.922,10241.436,2,20
173691,A_ACCEPTED,COMPLETE,2011-10-01 12:33:54.614000+00:00,4,10241.436,23096.358,111.402,2,1
173691,A_FINALIZED,COMPLETE,2011-10-01 12:35:46.016000+00:00,5,111.402,23207.76,-0.0,2,6
173691,O_SELECTED,COMPLETE,2011-10-01 12:35:46.016000+00:00,6,0.0,23207.76,1.472,2,15
173691,O_CREATED,COMPLETE,2011-10-01 12:35:47.488000+00:00,7,1.472,23209.232,0.095,2,13
173691,O_SENT,COMPLETE,2011-10-01 12:35:47.583000+00:00,8,0.095,23209.327,1.208,2,16
173691,W_Completeren aanvraag,COMPLETE,2011-10-01 12:35:48.791000+00:00,9,1.208,23210.535,37.003,2,20
173691,W_Nabellen offertes,COMPLETE,2011-10-01 12:36:25.794000+00:00,10,37.003,23247.538,181191.937,2,22
173691,O_CANCELLED,COMPLETE,2011-10-03 14:56:17.731000+00:00,11,181191.937,204439.475,-0.0,2,12
173691,O_SELECTED,COMPLETE,2011-10-03 14:56:17.731000+00:00,12,0.0,204439.475,1.882,2,15
173691,O_CREATED,COMPLETE,2011-10-03 14:56:19.613000+00:00,13,1.882,204441.357,0.032,2,13
173691,O_SENT,COMPLETE,2011-10-03 14:56:19.645000+00:00,14,0.032,204441.389,1.55,2,16
173691,W_Nabellen offertes,COMPLETE,2011-10-03 14:56:21.195000+00:00,15,1.55,204442.939,55.368,2,22
173691,W_Nabellen offertes,COMPLETE,2011-10-03 14:57:16.563000+00:00,16,55.368,204498.307,580647.212,2,22
173691,O_SENT_BACK,COMPLETE,2011-10-10 08:14:43.775000+00:00,17,580647.212,785145.519,1.739,2,17
173691,W_Nabellen offertes,COMPLETE,2011-10-10 08:14:45.514000+00:00,18,1.739,785147.258,4569.379,2,22
173691,W_Valideren aanvraag,COMPLETE,2011-10-10 09:30:54.893000+00:00,19,4569.379,789716.637,9798.501,2,23
173691,W_Valideren aanvraag,COMPLETE,2011-10-10 12:14:13.394000+00:00,20,9798.501,799515.138,192.912,2,23
173691,O_ACCEPTED,COMPLETE,2011-10-10 12:17:26.306000+00:00,21,192.912,799708.05,0.001,2,11
173691,A_ACTIVATED,COMPLETE,2011-10-10 12:17:26.307000+00:00,22,0.001,799708.051,-0.0,2,2
173691,A_APPROVED,COMPLETE,2011-10-10 12:17:26.307000+00:00,23,0.0,799708.051,-0.0,2,3
173691,A_REGISTERED,COMPLETE,2011-10-10 12:17:26.307000+00:00,24,0.0,799708.051,8.326,2,9
173691,W_Valideren aanvraag,COMPLETE,2011-10-10 12:17:34.633000+00:00,25,8.326,799716.377,0.0,2,23
173694,A_SUBMITTED,COMPLETE,2011-10-01 06:10:30.287000+00:00,0,0.0,0.0,0.304,3,10
173694,A_PARTLYSUBMITTED,COMPLETE,2011-10-01 06:10:30.591000+00:00,1,0.304,0.304,42.435,3,7
173694,A_PREACCEPTED,COMPLETE,2011-10-01 06:11:13.026000+00:00,2,42.435,42.739,12286.611,3,8
173694,W_Completeren aanvraag,COMPLETE,2011-10-01 09:35:59.637000+00:00,3,12286.611,12329.35,171922.78,3,20
173694,W_Completeren aanvraag,COMPLETE,2011-10-03 09:21:22.417000+00:00,4,171922.78,184252.13,7880.896,3,20
173694,W_Completeren aanvraag,COMPLETE,2011-10-03 11:32:43.313000+00:00,5,7880.896,192133.026,102.108,3,20
173694,A_ACCEPTED,COMPLETE,2011-10-03 11:34:25.421000+00:00,6,102.108,192235.134,349.211,3,1
173694,A_FINALIZED,COMPLETE,2011-10-03 11:40:14.632000+00:00,7,349.211,192584.345,-0.0,3,6
173694,O_SELECTED,COMPLETE,2011-10-03 11:40:14.632000+00:00,8,0.0,192584.345,0.973,3,15
173694,O_CREATED,COMPLETE,2011-10-03 11:40:15.605000+00:00,9,0.973,192585.318,0.046,3,13
173694,O_SENT,COMPLETE,2011-10-03 11:40:15.651000+00:00,10,0.046,192585.364,1.411,3,16
173694,W_Completeren aanvraag,COMPLETE,2011-10-03 11:40:17.062000+00:00,11,1.411,192586.775,240.557,3,20
173694,O_CANCELLED,COMPLETE,2011-10-03 11:44:17.619000+00:00,12,240.557,192827.332,-0.0,3,12
173694,O_SELECTED,COMPLETE,2011-10-03 11:44:17.619000+00:00,13,0.0,192827.332,2.052,3,15
173694,O_CREATED,COMPLETE,2011-10-03 11:44:19.671000+00:00,14,2.052,192829.384,0.048,3,13
173694,O_SENT,COMPLETE,2011-10-03 11:44:19.719000+00:00,15,0.048,192829.432,1.542,3,16
173694,W_Nabellen offertes,COMPLETE,2011-10-03 11:44:21.261000+00:00,16,1.542,192830.974,615777.542,3,22
173694,W_Nabellen offertes,COMPLETE,2011-10-10 14:47:18.803000+00:00,17,615777.542,808608.516,10037.224,3,22
173694,W_Nabellen offertes,COMPLETE,2011-10-10 17:34:36.027000+00:00,18,10037.224,818645.74,340926.218,3,22
173694,W_Nabellen offertes,COMPLETE,2011-10-14 16:16:42.245000+00:00,19,340926.218,1159571.958,264431.342,3,22
173694,O_CANCELLED,COMPLETE,2011-10-17 17:43:53.587000+00:00,20,264431.342,1424003.3,-0.0,3,12
173694,O_SELECTED,COMPLETE,2011-10-17 17:43:53.587000+00:00,21,0.0,1424003.3,1.632,3,15
173694,O_CREATED,COMPLETE,2011-10-17 17:43:55.219000+00:00,22,1.632,1424004.932,0.168,3,13
173694,O_SENT,COMPLETE,2011-10-17 17:43:55.387000+00:00,23,0.168,1424005.1,2.387,3,16
173694,W_Nabellen offertes,COMPLETE,2011-10-17 17:43:57.774000+00:00,24,2.387,1424007.487,659210.412,3,22
173694,W_Nabellen offertes,COMPLETE,2011-10-25 08:50:48.186000+00:00,25,659210.412,2083217.899,115173.818,3,22
173694,W_Nabellen offertes,COMPLETE,2011-10-26 16:50:22.004000+00:00,26,115173.818,2198391.717,237067.565,3,22
173694,W_Nabellen offertes,COMPLETE,2011-10-29 10:41:29.569000+00:00,27,237067.565,2435459.282,270845.451,3,22
173694,W_Nabellen offertes,COMPLETE,2011-11-01 13:55:35.020000+00:00,28,270845.451,2706304.733,8727.336,3,22
173694,W_Nabellen offertes,COMPLETE,2011-11-01 16:21:02.356000+00:00,29,8727.336,2715032.069,57253.847,3,22
173694,O_SENT_BACK,COMPLETE,2011-11-02 08:15:16.203000+00:00,30,57253.847,2772285.916,2.48,3,17
173694,W_Nabellen offertes,COMPLETE,2011-11-02 08:15:18.683000+00:00,31,2.48,2772288.396,197373.928,3,22
173694,O_ACCEPTED,COMPLETE,2011-11-04 15:04:52.611000+00:00,32,197373.928,2969662.324,0.001,3,11
173694,A_ACTIVATED,COMPLETE,2011-11-04 15:04:52.612000+00:00,33,0.001,2969662.325,-0.0,3,2
173694,A_APPROVED,COMPLETE,2011-11-04 15:04:52.612000+00:00,34,0.0,2969662.325,-0.0,3,3
173694,A_REGISTERED,COMPLETE,2011-11-04 15:04:52.612000+00:00,35,0.0,2969662.325,8.92,3,9
173694,W_Valideren aanvraag,COMPLETE,2011-11-04 15:05:01.532000+00:00,36,8.92,2969671.245,0.0,3,23
173697,A_SUBMITTED,COMPLETE,2011-10-01 06:11:08.866000+00:00,0,0.0,0.0,0.169,4,10
173697,A_PARTLYSUBMITTED,COMPLETE,2011-10-01 06:11:09.035000+00:00,1,0.169,0.169,37.385,4,7
173697,A_DECLINED,COMPLETE,2011-10-01 06:11:46.420000+00:00,2,37.385,37.554,0.0,4,5
173700,A_SUBMITTED,COMPLETE,2011-10-01 06:15:39.894000+00:00,0,0.0,0.0,0.208,5,10
173700,A_PARTLYSUBMITTED,COMPLETE,2011-10-01 06:15:40.102000+00:00,1,0.208,0.208,40.935,5,7
173700,A_DECLINED,COMPLETE,2011-10-01 06:16:21.037000+00:00,2,40.935,41.143,0.0,5,5
173703,A_SUBMITTED,COMPLETE,2011-10-01 07:45:25.806000+00:00,0,0.0,0.0,0.175,6,10
173703,A_PARTLYSUBMITTED,COMPLETE,2011-10-01 07:45:25.981000+00:00,1,0.175,0.175,52.23,6,7
173703,A_PREACCEPTED,COMPLETE,2011-10-01 07:46:18.211000+00:00,2,52.23,52.405,6845.93,6,8
173703,W_Completeren aanvraag,COMPLETE,2011-10-01 09:40:24.141000+00:00,3,6845.93,6898.335,4906.927,6,20
173703,A_CANCELLED,COMPLETE,2011-10-01 11:02:11.068000+00:00,4,4906.927,11805.262,1.489,6,4
173703,W_Completeren aanvraag,COMPLETE,2011-10-01 11:02:12.557000+00:00,5,1.489,11806.751,0.0,6,20
173706,A_SUBMITTED,COMPLETE,2011-10-01 07:45:37.274000+00:00,0,0.0,0.0,0.089,7,10
173706,A_PARTLYSUBMITTED,COMPLETE,2011-10-01 07:45:37.363000+00:00,1,0.089,0.089,1871.593,7,7
