case_id,activity,lifecycle,timestamp,event_idx,delta_prev_seconds,delta_start_seconds,user_id,item_id
173688,A_SUBMITTED,COMPLETE,2011-09-30 22:38:44.546000+00:00,0,0.0,0.0,1,10
173688,A_PARTLYSUBMITTED,COMPLETE,2011-09-30 22:38:44.880000+00:00,1,0.334,0.334,1,7
173688,A_PREACCEPTED,COMPLETE,2011-09-30 22:39:37.906000+00:00,2,53.026,53.36,1,8
173688,A_ACCEPTED,COMPLETE,2011-10-01 09:42:43.308000+00:00,3,39785.402,39838.762,1,1
173688,A_FINALIZED,COMPLETE,2011-10-01 09:45:09.243000+00:00,4,145.935,39984.697,1,6
173688,O_SELECTED,COMPLETE,2011-10-01 09:45:09.243000+00:00,5,0.0,39984.697,1,15
173688,O_CREATED,COMPLETE,2011-10-01 09:45:11.197000+00:00,6,1.954,39986.651,1,13
173688,O_SENT,COMPLETE,2011-10-01 09:45:11.380000+00:00,7,0.183,39986.834,1,16
173688,W_Completeren aanvraag,COMPLETE,2011-10-01 09:45:13.917000+00:00,8,2.537,39989.371,1,20
173688,W_Nabellen offertes,COMPLETE,2011-10-01 10:17:08.924000+00:00,9,1915.007,41904.378,1,22
173688,W_Nabellen offertes,COMPLETE,2011-10-08 14:32:00.886000+00:00,10,620091.962,661996.34,1,22
173688,O_SENT_BACK,COMPLETE,2011-10-10 09:33:03.668000+00:00,11,154862.782,816859.122,1,17
173688,W_Nabellen offertes,COMPLETE,2011-10-10 09:33:05.791000+00:00,12,2.123,816861.245,1,22
173688,A_ACTIVATED,COMPLETE,2011-10-13 08:37:29.226000+00:00,13,255863.435,1072724.68,1,2
173688,A_APPROVED,COMPLETE,2011-10-13 08:37:29.226000+00:00,14,0.0,1072724.68,1,3
173688,A_REGISTERED,COMPLETE,2011-10-13 08:37:29.226000+00:00,15,0.0,1072724.68,1,9
173688,O_ACCEPTED,COMPLETE,2011-10-13 08:37:29.226000+00:00,16,0.0,1072724.68,1,11
173688,W_Valideren aanvraag,COMPLETE,2011-10-13 08:37:37.026000+00:00,17,7.8,1072732.48,1,23
173691,A_SUBMITTED,COMPLETE,2011-10-01 06:08:58.256000+00:00,0,0.0,0.0,2,10
173691,A_PARTLYSUBMITTED,COMPLETE,2011-10-01 06:09:02.195000+00:00,1,3.939,3.939,2,7
173691,A_PREACCEPTED,COMPLETE,2011-10-01 06:09:56.648000+00:00,2,54.453,58.392,2,8
173691,W_Completeren aanvraag,COMPLETE,2011-10-01 09:43:13.178000+00:00,3,12796.53,12854.922,2,20
173691,A_ACCEPTED,COMPLETE,2011-10-01 12:33:54.614000+00:00,4,10241.436,23096.358,2,1
173691,A_FINALIZED,COMPLETE,2011-10-01 12:35:46.016000+00:00,5,111.402,23207.76,2,6
173691,O_SELECTED,COMPLETE,2011-10-01 12:35:46.016000+00:00,6,0.0,23207.76,2,15
173691,O_CREATED,COMPLETE,2011-10-01 12:35:47.488000+00:00,7,1.472,23209.232,2,13
173691,O_SENT,COMPLETE,2011-10-01 12:35:47.583000+00:00,8,0.095,23209.327,2,16
173691,W_Completeren aanvraag,COMPLETE,2011-10-01 12:35:48.791000+00:00,9,1.208,23210.535,2,20
173691,W_Nabellen offertes,COMPLETE,2011-10-01 12:36:25.794000+00:00,10,37.003,23247.538,2,22
173691,O_CANCELLED,COMPLETE,2011-10-03 14:56:17.731000+00:00,11,181191.937,204439.475,2,12
173691,O_SELECTED,COMPLETE,2011-10-03 14:56:17.731000+00:00,12,0.0,204439.475,2,15
173691,O_CREATED,COMPLETE,2011-10-03 14:56:19.613000+00:00,13,1.882,204441.357,2,13
173691,O_SENT,COMPLETE,2011-10-03 14:56:19.645000+00:00,14,0.032,204441.389,2,16
173691,W_Nabellen offertes,COMPLETE,2011-10-03 14:56:21.195000+00:00,15,1.55,204442.939,2,22
173691,W_Nabellen offertes,COMPLETE,2011-10-03 14:57:16.563000+00:00,16,55.368,204498.307,2,22
173691,O_SENT_BACK,COMPLETE,2011-10-10 08:14:43.775000+00:00,17,580647.212,785145.519,2,17
